时间戳	借车需求	还车需求
2024-06-26 00:00	0	0
2024-06-26 00:15	0	0
2024-06-26 00:30	0	0
2024-06-26 00:45	0	0
2024-06-26 01:00	0	0
2024-06-26 01:15	0	0
2024-06-26 01:30	0	0
2024-06-26 01:45	0	0
2024-06-26 02:00	0	0
2024-06-26 02:15	1	0
2024-06-26 02:30	0	0
2024-06-26 02:45	1	1
2024-06-26 03:00	1	1
2024-06-26 03:15	0	0
2024-06-26 03:30	1	1
2024-06-26 03:45	0	0
2024-06-26 04:00	1	0
2024-06-26 04:15	0	0
2024-06-26 04:30	0	0
2024-06-26 04:45	0	1
2024-06-26 05:00	0	0
2024-06-26 05:15	0	0
2024-06-26 05:30	0	0
2024-06-26 05:45	0	0
2024-06-26 06:00	6	7
2024-06-26 06:15	5	6
2024-06-26 06:30	7	6
2024-06-26 06:45	5	4
2024-06-26 07:00	9	9
2024-06-26 07:15	9	8
2024-06-26 07:30	10	6
2024-06-26 07:45	9	8
2024-06-26 08:00	9	8
2024-06-26 08:15	9	10
2024-06-26 08:30	10	6
2024-06-26 08:45	10	7
2024-06-26 09:00	11	9
2024-06-26 09:15	9	10
2024-06-26 09:30	11	10
2024-06-26 09:45	11	10
2024-06-26 10:00	11	8
2024-06-26 10:15	11	11
2024-06-26 10:30	10	10
2024-06-26 10:45	10	10
2024-06-26 11:00	1	3
2024-06-26 11:15	3	3
2024-06-26 11:30	3	3
2024-06-26 11:45	4	2
2024-06-26 12:00	2	4
2024-06-26 12:15	4	2
2024-06-26 12:30	2	3
2024-06-26 12:45	3	3
2024-06-26 13:00	3	3
2024-06-26 13:15	4	4
2024-06-26 13:30	5	3
2024-06-26 13:45	4	4
2024-06-26 14:00	6	6
2024-06-26 14:15	5	4
2024-06-26 14:30	5	6
2024-06-26 14:45	6	5
2024-06-26 15:00	7	7
2024-06-26 15:15	5	5
2024-06-26 15:30	5	6
2024-06-26 15:45	8	6
2024-06-26 16:00	13	13
2024-06-26 16:15	12	12
2024-06-26 16:30	12	13
2024-06-26 16:45	13	11
2024-06-26 17:00	15	13
2024-06-26 17:15	14	12
2024-06-26 17:30	14	14
2024-06-26 17:45	13	14
2024-06-26 18:00	16	15
2024-06-26 18:15	14	12
2024-06-26 18:30	13	13
2024-06-26 18:45	14	14
2024-06-26 19:00	15	14
2024-06-26 19:15	15	15
2024-06-26 19:30	14	15
2024-06-26 19:45	13	15
2024-06-26 20:00	5	5
2024-06-26 20:15	2	2
2024-06-26 20:30	2	3
2024-06-26 20:45	4	3
2024-06-26 21:00	2	3
2024-06-26 21:15	1	3
2024-06-26 21:30	2	1
2024-06-26 21:45	1	1
2024-06-26 22:00	0	0
2024-06-26 22:15	0	0
2024-06-26 22:30	0	0
2024-06-26 22:45	0	0
2024-06-26 23:00	0	0
2024-06-26 23:15	0	0
2024-06-26 23:30	0	0
2024-06-26 23:45	0	0
