时间戳	借车需求	还车需求
2024-06-17 00:00	0	0
2024-06-17 00:15	0	0
2024-06-17 00:30	0	0
2024-06-17 00:45	0	0
2024-06-17 01:00	0	0
2024-06-17 01:15	0	0
2024-06-17 01:30	0	0
2024-06-17 01:45	0	0
2024-06-17 02:00	0	0
2024-06-17 02:15	0	0
2024-06-17 02:30	0	0
2024-06-17 02:45	0	0
2024-06-17 03:00	0	0
2024-06-17 03:15	0	0
2024-06-17 03:30	0	0
2024-06-17 03:45	0	0
2024-06-17 04:00	0	0
2024-06-17 04:15	0	0
2024-06-17 04:30	0	0
2024-06-17 04:45	0	0
2024-06-17 05:00	0	0
2024-06-17 05:15	0	0
2024-06-17 05:30	0	0
2024-06-17 05:45	0	0
2024-06-17 06:00	1	2
2024-06-17 06:15	0	1
2024-06-17 06:30	1	0
2024-06-17 06:45	0	2
2024-06-17 07:00	1	1
2024-06-17 07:15	0	3
2024-06-17 07:30	0	1
2024-06-17 07:45	0	2
2024-06-17 08:00	2	3
2024-06-17 08:15	1	2
2024-06-17 08:30	2	1
2024-06-17 08:45	1	2
2024-06-17 09:00	3	4
2024-06-17 09:15	1	2
2024-06-17 09:30	0	1
2024-06-17 09:45	2	3
2024-06-17 10:00	3	4
2024-06-17 10:15	2	3
2024-06-17 10:30	4	4
2024-06-17 10:45	3	3
2024-06-17 11:00	4	4
2024-06-17 11:15	5	3
2024-06-17 11:30	3	4
2024-06-17 11:45	4	5
2024-06-17 12:00	3	4
2024-06-17 12:15	4	5
2024-06-17 12:30	5	4
2024-06-17 12:45	4	5
2024-06-17 13:00	5	3
2024-06-17 13:15	6	4
2024-06-17 13:30	5	3
2024-06-17 13:45	4	4
2024-06-17 14:00	5	2
2024-06-17 14:15	4	3
2024-06-17 14:30	3	2
2024-06-17 14:45	4	3
2024-06-17 15:00	3	2
2024-06-17 15:15	4	1
2024-06-17 15:30	2	2
2024-06-17 15:45	3	1
2024-06-17 16:00	2	0
2024-06-17 16:15	3	1
2024-06-17 16:30	2	0
2024-06-17 16:45	1	1
2024-06-17 17:00	2	0
2024-06-17 17:15	0	1
2024-06-17 17:30	1	0
2024-06-17 17:45	0	1
2024-06-17 18:00	1	0
2024-06-17 18:15	0	1
2024-06-17 18:30	1	0
2024-06-17 18:45	0	0
2024-06-17 19:00	1	0
2024-06-17 19:15	0	1
2024-06-17 19:30	1	0
2024-06-17 19:45	0	0
2024-06-17 20:00	0	0
2024-06-17 20:15	1	1
2024-06-17 20:30	0	0
2024-06-17 20:45	1	1
2024-06-17 21:00	0	1
2024-06-17 21:15	1	2
2024-06-17 21:30	2	1
2024-06-17 21:45	1	2
2024-06-17 22:00	2	1
2024-06-17 22:15	3	2
2024-06-17 22:30	2	1
2024-06-17 22:45	3	2
2024-06-17 23:00	4	1
2024-06-17 23:15	3	3
2024-06-17 23:30	4	2
2024-06-17 23:45	3	3
